2023-10-30 17:55:58,509 INFO    Thread-54 :3786045 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-10-30 17:55:58,510 INFO    Thread-54 :3786045 [wandb_setup.py:_flush():76] Configure stats pid to 3786045
2023-10-30 17:55:58,510 INFO    Thread-54 :3786045 [wandb_setup.py:_flush():76] Loading settings from /home/ndeo/.config/wandb/settings
2023-10-30 17:55:58,510 INFO    Thread-54 :3786045 [wandb_setup.py:_flush():76] Loading settings from /data/ndeo/bart/bart-hf-model/wandb/settings
2023-10-30 17:55:58,510 WARNING Thread-54 :3786045 [wandb_setup.py:_flush():76] Unknown environment variable: WANDB_LOG_MODEL
2023-10-30 17:55:58,510 INFO    Thread-54 :3786045 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'api_key': '***REDACTED***', 'project': 'nlp-ltl-capstone', 'entity': 'nlp-ltl', 'root_dir': '/data/ndeo/bart/bart-hf-model', 'run_id': 'k90ka7pt', 'sweep_param_path': '/data/ndeo/bart/bart-hf-model/wandb/sweep-milg39jw/config-k90ka7pt.yaml', 'sweep_id': 'milg39jw'}
2023-10-30 17:55:58,510 INFO    Thread-54 :3786045 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-10-30 17:55:58,510 INFO    Thread-54 :3786045 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'hyperparameter-search.py', 'program_abspath': '/data/ndeo/bart/bart-hf-model/hyperparameter-search.py', 'program': 'hyperparameter-search.py'}
2023-10-30 17:55:58,510 INFO    Thread-54 :3786045 [wandb_init.py:_log_setup():528] Logging user logs to /data/ndeo/bart/bart-hf-model/wandb/run-20231030_175558-k90ka7pt/logs/debug.log
2023-10-30 17:55:58,510 INFO    Thread-54 :3786045 [wandb_init.py:_log_setup():529] Logging internal logs to /data/ndeo/bart/bart-hf-model/wandb/run-20231030_175558-k90ka7pt/logs/debug-internal.log
2023-10-30 17:55:58,510 INFO    Thread-54 :3786045 [wandb_init.py:init():568] calling init triggers
2023-10-30 17:55:58,510 INFO    Thread-54 :3786045 [wandb_init.py:init():575] wandb.init called with sweep_config: {'batch_size': 16, 'epochs': 50, 'gradient_accumulation_steps': 1, 'learning_rate': 9.60289498720814e-05, 'weight_decay': 0.5}
config: {}
2023-10-30 17:55:58,510 INFO    Thread-54 :3786045 [wandb_init.py:init():618] starting backend
2023-10-30 17:55:58,510 INFO    Thread-54 :3786045 [wandb_init.py:init():622] setting up manager
2023-10-30 17:55:58,517 INFO    Thread-54 :3786045 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-10-30 17:55:58,517 INFO    Thread-54 :3786045 [wandb_init.py:init():628] backend started and connected
2023-10-30 17:55:58,524 INFO    Thread-54 :3786045 [wandb_run.py:_config_callback():1324] config_cb None None {'batch_size': 16, 'epochs': 50, 'gradient_accumulation_steps': 1, 'learning_rate': 9.60289498720814e-05, 'weight_decay': 0.5}
2023-10-30 17:55:58,528 INFO    Thread-54 :3786045 [wandb_init.py:init():720] updated telemetry
2023-10-30 17:55:59,076 INFO    Thread-54 :3786045 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-10-30 17:55:59,552 INFO    Thread-54 :3786045 [wandb_run.py:_on_init():2220] communicating current version
2023-10-30 17:55:59,590 INFO    Thread-54 :3786045 [wandb_run.py:_on_init():2229] got version response 
2023-10-30 17:55:59,590 INFO    Thread-54 :3786045 [wandb_init.py:init():804] starting run threads in backend
2023-10-30 17:56:04,629 INFO    Thread-54 :3786045 [wandb_run.py:_console_start():2199] atexit reg
2023-10-30 17:56:04,630 INFO    Thread-54 :3786045 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-10-30 17:56:04,630 INFO    Thread-54 :3786045 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-10-30 17:56:04,630 INFO    Thread-54 :3786045 [wandb_run.py:_redirect():2144] Redirects installed.
2023-10-30 17:56:04,631 INFO    Thread-54 :3786045 [wandb_init.py:init():845] run started, returning control to user process
2023-10-30 17:56:10,160 INFO    Thread-54 :3786045 [wandb_run.py:_finish():1934] finishing run nlp-ltl/nlp-ltl-capstone/k90ka7pt
2023-10-30 17:56:10,160 INFO    Thread-54 :3786045 [wandb_run.py:_atexit_cleanup():2168] got exitcode: 1
2023-10-30 17:56:10,160 INFO    Thread-54 :3786045 [wandb_run.py:_restore():2151] restore
2023-10-30 17:56:10,160 INFO    Thread-54 :3786045 [wandb_run.py:_restore():2157] restore done
2023-10-30 17:56:14,975 INFO    Thread-54 :3786045 [wandb_run.py:_footer_history_summary_info():3599] rendering history
2023-10-30 17:56:14,976 INFO    Thread-54 :3786045 [wandb_run.py:_footer_history_summary_info():3631] rendering summary
2023-10-30 17:56:14,978 INFO    Thread-54 :3786045 [wandb_run.py:_footer_sync_info():3558] logging synced files
